date,close,volume,open,high,low,symbol
2023-05-17,314.0,24315010,312.29,314.43,310.74,MSFT
2023-05-16,311.74,26730350,309.83,313.71,309.83,MSFT
2023-05-15,309.46,16336550,309.095,309.905,307.59,MSFT
2023-05-12,308.97,19774700,310.55,310.65,306.6,MSFT
2023-05-11,310.11,31680180,310.1,311.12,306.2601,MSFT
2023-05-10,312.31,30078040,308.62,313.0,307.67,MSFT
2023-05-09,307.0,21340830,308.0,310.04,306.31,MSFT
2023-05-08,308.65,21318610,310.13,310.2,306.09,MSFT
2023-05-05,310.65,28197050,305.72,311.97,304.27,MSFT
2023-05-04,305.41,22519910,306.24,307.7626,303.4,MSFT
2023-05-03,304.4,22360750,306.62,308.61,304.09,MSFT
2023-05-02,305.41,26404430,307.76,309.18,303.91,MSFT
2023-05-01,305.56,21294120,306.97,308.6,305.15,MSFT
2023-04-28,307.26,36469610,304.01,308.93,303.31,MSFT
2023-04-27,304.83,46462640,295.97,305.2,295.25,MSFT
2023-04-26,295.37,64599180,296.7,299.57,292.73,MSFT
2023-04-25,275.42,45772240,279.51,281.6,275.37,MSFT
2023-04-24,281.77,26611010,282.09,284.95,278.72,MSFT
2023-04-21,285.76,21676390,285.01,286.27,283.0608,MSFT
2023-04-20,286.11,23244360,285.25,289.03,285.08,MSFT
2023-04-19,288.45,17150270,285.99,289.05,284.54,MSFT
2023-04-18,288.37,20161850,291.57,291.755,287.01,MSFT
2023-04-17,288.8,23836220,289.93,291.6,286.16,MSFT
2023-04-14,286.14,20987920,287.0,288.48,283.69,MSFT
2023-04-13,289.84,24222680,283.59,289.9,283.17,MSFT
2023-04-12,283.49,27403430,284.79,287.01,281.96,MSFT
2023-04-11,282.83,27276590,285.75,285.98,281.64,MSFT
2023-04-10,289.39,23102990,289.208,289.6,284.71,MSFT
2023-04-06,291.6,29770330,283.21,292.08,282.03,MSFT
2023-04-05,284.34,22064770,285.85,287.15,282.92,MSFT
2023-04-04,287.18,25824300,287.23,290.4499,285.67,MSFT
2023-04-03,287.23,24883340,286.52,288.27,283.95,MSFT
2023-03-31,288.3,32765980,283.73,289.27,283.0,MSFT
2023-03-30,284.05,25053410,284.23,284.46,281.48,MSFT
2023-03-29,280.51,25087030,278.96,281.1398,278.41,MSFT
2023-03-28,275.23,21878650,275.79,276.14,272.0451,MSFT
2023-03-27,276.38,26840210,280.5,281.4589,275.52,MSFT
2023-03-24,280.57,28199960,277.24,280.63,275.28,MSFT
2023-03-23,277.66,36610880,277.94,281.06,275.2,MSFT
2023-03-22,272.29,34873330,273.4,281.04,272.18,MSFT
2023-09-21,173.93,63149120,174.55,176.3,173.86,AAPL
2023-09-20,175.49,58436180,179.26,179.695,175.4,AAPL
2023-09-19,179.07,51826940,177.52,179.63,177.13,AAPL
2023-09-18,177.97,67257570,176.48,179.38,176.17,AAPL
2023-09-15,175.01,109259500,176.48,176.495,173.82,AAPL
2023-09-14,175.74,60895760,174.0,176.1,173.58,AAPL
2023-09-13,174.21,84267930,176.51,177.3,173.98,AAPL
2023-09-12,176.3,90370190,179.49,180.13,174.82,AAPL
2023-09-11,179.36,58953050,180.07,180.3,177.34,AAPL
2023-09-08,178.18,65602070,178.35,180.239,177.79,AAPL
2023-09-07,177.56,112488800,175.18,178.21,173.54,AAPL
2023-09-06,182.91,81755820,188.4,188.85,181.47,AAPL
2023-09-05,189.7,45280030,188.28,189.98,187.61,AAPL
2023-09-01,189.46,45766500,189.485,189.92,188.28,AAPL
2023-08-31,187.87,60794470,187.84,189.12,187.48,AAPL
2023-08-30,187.65,60813890,184.94,187.85,184.74,AAPL
2023-08-29,184.12,53003950,179.695,184.9,179.5,AAPL
2023-08-28,180.19,43820700,180.09,180.59,178.545,AAPL
2023-08-25,178.61,51449590,177.38,179.15,175.82,AAPL
2023-08-24,176.38,54945800,180.674,181.104,176.01,AAPL
2023-08-23,181.12,52722750,178.52,181.55,178.325,AAPL
2023-08-22,177.23,42084250,177.06,177.68,176.25,AAPL
2023-08-21,175.84,46311880,175.07,176.13,173.735,AAPL
2023-08-18,174.49,61172150,172.3,175.1,171.96,AAPL
2023-08-17,174.0,66062880,177.14,177.5054,173.48,AAPL
2023-08-16,176.57,46964860,177.13,178.54,176.5,AAPL
2023-08-15,177.45,43622590,178.88,179.48,177.05,AAPL
2023-08-14,179.46,43675630,177.97,179.69,177.305,AAPL
2023-08-11,177.79,52036670,177.32,178.62,176.55,AAPL
2023-08-10,177.97,54686850,179.48,180.75,177.6,AAPL
2023-08-09,178.19,60378490,180.87,180.93,177.01,AAPL
2023-08-08,179.8,67823000,179.69,180.27,177.58,AAPL
2023-08-07,178.85,97576070,182.13,183.13,177.35,AAPL
2023-08-04,181.99,115956800,185.52,187.38,181.92,AAPL
2023-08-03,191.17,62243280,191.57,192.37,190.69,AAPL
2023-08-02,192.58,50389330,195.04,195.18,191.8507,AAPL
2023-08-01,195.605,35281430,196.235,196.73,195.28,AAPL
2023-07-31,196.45,38824110,196.06,196.49,195.26,AAPL
2023-07-28,195.83,48291440,194.67,196.626,194.14,AAPL
2023-07-27,193.22,47460180,196.02,197.2,192.55,AAPL
2023-07-26,194.5,47471870,193.67,195.64,193.32,AAPL
2023-07-25,193.62,37283200,193.33,194.44,192.915,AAPL
2023-07-24,192.75,45505100,193.41,194.91,192.25,AAPL
2023-07-21,191.94,71951680,194.1,194.97,191.23,AAPL
2023-07-20,193.13,59581200,195.09,196.47,192.495,AAPL
2023-07-19,195.1,80507320,193.1,198.23,192.65,AAPL
2023-07-18,193.73,48353770,193.35,194.33,192.415,AAPL
2023-07-17,193.99,50520160,191.9,194.32,191.81,AAPL
2023-07-14,190.69,41616240,190.23,191.1799,189.63,AAPL
2023-07-13,190.54,41342340,190.5,191.19,189.78,AAPL
2023-07-12,189.77,60750250,189.68,191.7,188.47,AAPL
2023-07-11,188.08,46638120,189.16,189.3,186.6,AAPL
2023-07-10,188.61,59922160,189.26,189.99,187.035,AAPL
2023-07-07,190.68,46815000,191.41,192.67,190.24,AAPL
2023-07-06,191.81,45156010,189.84,192.02,189.2,AAPL
2023-07-05,191.33,46920260,191.565,192.98,190.62,AAPL
2023-07-03,192.46,31346600,193.78,193.88,191.76,AAPL
2023-06-30,193.97,85213220,191.63,194.48,191.26,AAPL
2023-06-29,189.59,46347310,189.08,190.07,188.94,AAPL
2023-06-28,189.25,51216800,187.93,189.9,187.6,AAPL
2023-06-27,188.06,50730850,185.89,188.39,185.67,AAPL
2023-06-26,185.27,48088660,186.83,188.05,185.23,AAPL
2023-06-23,186.68,53117000,185.55,187.56,185.01,AAPL
2023-06-22,187.0,51245330,183.74,187.045,183.67,AAPL
2023-06-21,183.96,49515700,184.9,185.41,182.5901,AAPL
2023-06-20,185.01,49799090,184.41,186.1,184.41,AAPL
2023-06-16,184.92,101256200,186.73,186.99,184.27,AAPL
2023-06-15,186.01,65433170,183.96,186.52,183.78,AAPL
2023-06-14,183.95,57462880,183.37,184.39,182.02,AAPL
2023-06-13,183.31,54929130,182.8,184.15,182.44,AAPL
2023-06-12,183.79,54755000,181.27,183.89,180.97,AAPL
2023-06-09,180.96,48899970,181.5,182.23,180.63,AAPL
2023-06-08,180.57,50214880,177.895,180.84,177.46,AAPL
2023-06-07,177.82,61944620,178.44,181.21,177.32,AAPL
2023-06-06,179.21,64848370,179.965,180.12,177.43,AAPL
2023-06-05,179.58,121946500,182.63,184.951,178.035,AAPL
2023-06-02,180.95,61996910,181.03,181.78,179.26,AAPL
2023-06-01,180.09,68901810,177.7,180.12,176.9306,AAPL
2023-05-31,177.25,99625290,177.325,179.35,176.76,AAPL
2023-05-30,177.3,55964400,176.96,178.99,176.57,AAPL
2023-05-26,175.43,54834980,173.32,175.77,173.11,AAPL
2023-05-25,172.99,56058260,172.41,173.895,171.69,AAPL
2023-05-24,171.84,45143490,171.09,172.4183,170.52,AAPL
2023-05-23,171.56,50747260,173.13,173.3794,171.275,AAPL
2023-05-22,174.2,43570930,173.98,174.71,173.45,AAPL
2023-05-19,175.16,55809480,176.39,176.39,174.94,AAPL
2023-05-18,175.05,65496660,173.0,175.24,172.58,AAPL
2023-05-17,172.69,57951600,171.71,172.925,170.4201,AAPL
2023-05-16,172.07,42110290,171.99,173.1383,171.7991,AAPL
2023-05-15,172.07,37266660,173.16,173.21,171.47,AAPL
2023-05-12,172.57,45533140,173.62,174.06,171.0,AAPL
2023-05-11,173.75,49514680,173.85,174.59,172.17,AAPL
2023-05-10,173.555,53724500,173.02,174.03,171.9,AAPL
2023-05-09,171.77,45326870,173.05,173.54,171.6,AAPL
2023-05-08,173.5,55962790,172.48,173.85,172.11,AAPL
2023-05-05,173.57,113453200,170.975,174.3,170.76,AAPL
2023-05-04,165.79,81235430,164.89,167.04,164.31,AAPL
2023-05-03,167.45,65136020,169.5,170.92,167.16,AAPL
2023-05-02,168.54,48425700,170.09,170.35,167.54,AAPL
2023-05-01,169.59,52472940,169.28,170.45,168.64,AAPL
2023-04-28,169.68,55275850,168.49,169.85,167.8801,AAPL
2023-04-27,168.41,64902330,165.19,168.56,165.19,AAPL
2023-04-26,163.76,45498800,163.055,165.28,162.8,AAPL
2023-04-25,163.77,48714060,165.19,166.305,163.73,AAPL
2023-04-24,165.33,41949580,165.0,165.6,163.89,AAPL
2023-04-21,165.02,58337340,165.05,166.4521,164.49,AAPL
2023-04-20,166.65,52456380,166.09,167.87,165.56,AAPL
2023-04-19,167.63,47720170,165.8,168.16,165.54,AAPL
2023-04-18,166.47,49923010,166.1,167.41,165.65,AAPL
2023-04-17,165.23,41516220,165.09,165.39,164.03,AAPL
2023-04-14,165.21,49386480,164.59,166.32,163.82,AAPL
2023-04-13,165.56,68445650,161.63,165.8,161.42,AAPL
2023-04-12,160.1,50133060,161.22,162.06,159.78,AAPL
2023-04-11,160.8,47644220,162.35,162.36,160.51,AAPL
2023-04-10,162.03,47716880,161.42,162.03,160.08,AAPL
2023-04-06,164.66,45390120,162.43,164.9584,162.0,AAPL
2023-04-05,163.76,51511740,164.74,165.05,161.8,AAPL
2023-04-04,165.63,46278300,166.595,166.84,165.11,AAPL
2023-04-03,166.17,56976190,164.27,166.29,164.22,AAPL
2023-03-31,164.9,68749790,162.44,165.0,161.91,AAPL
2023-03-30,162.36,49501690,161.53,162.47,161.271,AAPL
2023-03-29,160.77,51305690,159.37,161.05,159.35,AAPL
2023-03-28,157.65,45992150,157.97,158.49,155.98,AAPL
2023-03-27,158.28,52390270,159.94,160.77,157.87,AAPL
2023-03-24,160.25,59256340,158.86,160.34,157.85,AAPL
2023-03-23,158.93,67622060,158.83,161.5501,157.68,AAPL
2023-03-22,157.83,75701810,159.3,162.14,157.81,AAPL
